country	country_code	ETS information	main activity sector name	unit	value	year
Germany	DE	4.4 Surrendered Units CHU/CHUAA	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	574203	Total 4th trading period (21-30)
Finland	FI	4.1 Surrendered EU allowances (EUAs and EUAAs)	42 Production of bulk chemicals	tonne of CO2 equ.	2005241	Total 2nd trading period (08-12)
Finland	FI	4.3 Surrendered emission reduction units (ERUs)	43 Production of hydrogen and synthesis gas	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Finland	FI	4.1 Surrendered EU allowances (EUAs and EUAAs)	99 Other activity opted-in under Art. 24	tonne of CO2 equ.	419750	Total 2nd trading period (08-12)
France	FR	1. Total allocated allowances (EUA or EUAA)	10 Aviation	tonne of CO2 equ.	12418922.088167854	Total 2nd trading period (08-12)
France	FR	1.3 Allowances auctioned or sold (EUAs and EUAAs)	10 Aviation	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
France	FR	2. Verified emissions	10 Aviation	tonne of CO2 equ.	9807116	Total 2nd trading period (08-12)
France	FR	4.1 Surrendered EU allowances (EUAs and EUAAs)	20 Combustion of fuels	tonne of CO2 equ.	234306629	Total 2nd trading period (08-12)
Slovenia	SI	2. Verified emissions	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	5667750	Total 1st trading period (05-07)
Slovenia	SI	2.1 EU-ETS Verified Emission	24  Production of pig iron or steel	tonne of CO2 equ.	551762	Total 1st trading period (05-07)
Slovenia	SI	4.3 Surrendered emission reduction units (ERUs)	24  Production of pig iron or steel	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Slovenia	SI	4.3 Surrendered emission reduction units (ERUs)	25 Production or processing of ferrous metals	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Slovenia	SI	4.2 Surrendered certified emission reductions (CERs)	26 Production of primary aluminium	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Slovenia	SI	4.2 Surrendered certified emission reductions (CERs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Poland	PL	1.1 Freely allocated allowances	36 Production of paper or cardboard	tonne of CO2 equ.	10187009	Total 2nd trading period (08-12)
Poland	PL	2. Verified emissions	42 Production of bulk chemicals	tonne of CO2 equ.	4044691	Total 2nd trading period (08-12)
Poland	PL	4.2 Surrendered certified emission reductions (CERs)	42 Production of bulk chemicals	tonne of CO2 equ.	105863	Total 2nd trading period (08-12)
Portugal	PT	1. Total allocated allowances (EUA or EUAA)	10 Aviation	tonne of CO2 equ.	773001.4438967672	Total 2nd trading period (08-12)
Portugal	PT	1.3 Allowances auctioned or sold (EUAs and EUAAs)	10 Aviation	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Portugal	PT	4.1 Surrendered EU allowances (EUAs and EUAAs)	10 Aviation	tonne of CO2 equ.	1289355	Total 2nd trading period (08-12)
Portugal	PT	4.3 Surrendered emission reduction units (ERUs)	10 Aviation	tonne of CO2 equ.	207183	Total 2nd trading period (08-12)
Poland	PL	4.2 Surrendered certified emission reductions (CERs)	23 Metal ore roasting or sintering	tonne of CO2 equ.	1	Total 2nd trading period (08-12)
Poland	PL	4.3 Surrendered emission reduction units (ERUs)	23 Metal ore roasting or sintering	tonne of CO2 equ.	462068	Total 2nd trading period (08-12)
Poland	PL	1.1 Freely allocated allowances	24  Production of pig iron or steel	tonne of CO2 equ.	26154255	Total 2nd trading period (08-12)
Poland	PL	1.1 Freely allocated allowances	25 Production or processing of ferrous metals	tonne of CO2 equ.	9150429	Total 2nd trading period (08-12)
Poland	PL	1.1 Freely allocated allowances	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	24218	Total 2nd trading period (08-12)
Czechia	CZ	2.1 EU-ETS Verified Emission	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	24034844	Total 4th trading period (21-30)
Czechia	CZ	1.1.1 Free allocation to existing entities (Art. 10a(1))	24  Production of pig iron or steel	tonne of CO2 equ.	19490458	Total 4th trading period (21-30)
Czechia	CZ	1.1.1 Free allocation to existing entities (Art. 10a(1))	25 Production or processing of ferrous metals	tonne of CO2 equ.	207664	Total 4th trading period (21-30)
Netherlands	NL	2. Verified emissions	28 Production or processing of non-ferrous metals	tonne of CO2 equ.	40020	Total 2nd trading period (08-12)
France	FR	1. Total allocated allowances (EUA or EUAA)	20-99 All stationary installations	tonne of CO2 equ.	659968874	Total 2nd trading period (08-12)
France	FR	1.1 Freely allocated allowances	20-99 All stationary installations	tonne of CO2 equ.	676194353	Total 2nd trading period (08-12)
Germany	DE	2.1 EU-ETS Verified Emission	34 Production or processing of gypsum or plasterboard	tonne of CO2 equ.	2164798	Total 3rd trading period (13-20)
Germany	DE	2.1 EU-ETS Verified Emission	35 Production of pulp	tonne of CO2 equ.	2741831	Total 3rd trading period (13-20)
Latvia	LV	4.1 Surrendered EU allowances (EUAs and EUAAs)	34 Production or processing of gypsum or plasterboard	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Latvia	LV	2. Verified emissions	45 Capture of greenhouse gases under Directive 2009/31/EC	tonne of CO2 equ.	78525	Total 2nd trading period (08-12)
Malta	MT	4.2 Surrendered certified emission reductions (CERs)	10 Aviation	tonne of CO2 equ.	28285	Total 2nd trading period (08-12)
Malta	MT	1.1 Freely allocated allowances	20 Combustion of fuels	tonne of CO2 equ.	10715305	Total 2nd trading period (08-12)
Malta	MT	2. Verified emissions	20 Combustion of fuels	tonne of CO2 equ.	9778001	Total 2nd trading period (08-12)
Czechia	CZ	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	7439970	Total 4th trading period (21-30)
Czechia	CZ	2. Verified emissions	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2244927	Total 4th trading period (21-30)
Czechia	CZ	2.1 EU-ETS Verified Emission	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	2244927	Total 4th trading period (21-30)
Cyprus	CY	4. Total surrendered units	20-99 All stationary installations	tonne of CO2 equ.	8643315	Total 4th trading period (21-30)
Cyprus	CY	1.1 Freely allocated allowances	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	3592744	Total 4th trading period (21-30)
Czechia	CZ	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	10 Aviation	tonne of CO2 equ.	0	Total 4th trading period (21-30)
Czechia	CZ	2.1 EU-ETS Verified Emission	10 Aviation	tonne of CO2 equ.	423531	Total 4th trading period (21-30)
Czechia	CZ	4.4 Surrendered Units CHU/CHUAA	10 Aviation	tonne of CO2 equ.	413	Total 4th trading period (21-30)
Czechia	CZ	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Czechia	CZ	1.1 Freely allocated allowances	24  Production of pig iron or steel	tonne of CO2 equ.	66239356	Total 3rd trading period (13-20)
Czechia	CZ	1.1 Freely allocated allowances	25 Production or processing of ferrous metals	tonne of CO2 equ.	395846	Total 3rd trading period (13-20)
Czechia	CZ	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	27 Production of secondary aluminium	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Czechia	CZ	1.1.1 Free allocation to existing entities (Art. 10a(1))	29 Production of cement clinker	tonne of CO2 equ.	18979193	Total 3rd trading period (13-20)
Czechia	CZ	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	29 Production of cement clinker	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Germany	DE	1.1.1 Free allocation to existing entities (Art. 10a(1))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	985692860	Total 3rd trading period (13-20)
Germany	DE	4. Total surrendered units	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	964929179	Total 3rd trading period (13-20)
Germany	DE	2. Verified emissions	22  Production of coke	tonne of CO2 equ.	30036427	Total 3rd trading period (13-20)
Germany	DE	1.1.1 Free allocation to existing entities (Art. 10a(1))	23 Metal ore roasting or sintering	tonne of CO2 equ.	534574	Total 3rd trading period (13-20)
Germany	DE	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	23 Metal ore roasting or sintering	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Germany	DE	1.1 Freely allocated allowances	29 Production of cement clinker	tonne of CO2 equ.	104522581	Total 2nd trading period (08-12)
Portugal	PT	4.2 Surrendered certified emission reductions (CERs)	38 Production of nitric acid	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Portugal	PT	4.1 Surrendered EU allowances (EUAs and EUAAs)	44 Production of soda ash and sodium bicarbonate	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Romania	RO	4.3 Surrendered emission reduction units (ERUs)	10 Aviation	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Portugal	PT	2. Verified emissions	42 Production of bulk chemicals	tonne of CO2 equ.	311407	Total 1st trading period (05-07)
Portugal	PT	4.1 Surrendered EU allowances (EUAs and EUAAs)	42 Production of bulk chemicals	tonne of CO2 equ.	311407	Total 1st trading period (05-07)
Portugal	PT	4.3 Surrendered emission reduction units (ERUs)	43 Production of hydrogen and synthesis gas	tonne of CO2 equ.	0	Total 1st trading period (05-07)
Romania	RO	1.1.1 Free allocation to existing entities (Art. 10a(1))	20 Combustion of fuels	tonne of CO2 equ.	48361571	Total 1st trading period (05-07)
Romania	RO	4.1 Surrendered EU allowances (EUAs and EUAAs)	20 Combustion of fuels	tonne of CO2 equ.	47452397	Total 1st trading period (05-07)
Germany	DE	1.1 Freely allocated allowances	20-99 All stationary installations	tonne of CO2 equ.	2006221143	Total 2nd trading period (08-12)
Germany	DE	1.1.1 Free allocation to existing entities (Art. 10a(1))	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	715696725	Total 2nd trading period (08-12)
Germany	DE	4. Total surrendered units	21-99 All industrial installations (excl. combustion)	tonne of CO2 equ.	507508689	Total 2nd trading period (08-12)
Bulgaria	BG	2. Verified emissions	35 Production of pulp	tonne of CO2 equ.	63262	Total 2nd trading period (08-12)
Bulgaria	BG	4. Total surrendered units	36 Production of paper or cardboard	tonne of CO2 equ.	435041	Total 2nd trading period (08-12)
Bulgaria	BG	2. Verified emissions	38 Production of nitric acid	tonne of CO2 equ.	1082445	Total 2nd trading period (08-12)
United Kingdom (excl. NI)	GB	2. Verified emissions	43 Production of hydrogen and synthesis gas	tonne of CO2 equ.	603469	Total 2nd trading period (08-12)
United Kingdom (excl. NI)	GB	2.1 EU-ETS Verified Emission	43 Production of hydrogen and synthesis gas	tonne of CO2 equ.	603469	Total 2nd trading period (08-12)
Greece	GR	1.2 Correction to freely allocated allowances (not reflected in EUTL)	10 Aviation	tonne of CO2 equ.	-26610.369225549744	Total 2nd trading period (08-12)
Greece	GR	2. Verified emissions	10 Aviation	tonne of CO2 equ.	792521	Total 2nd trading period (08-12)
Greece	GR	2.1 EU-ETS Verified Emission	10 Aviation	tonne of CO2 equ.	792521	Total 2nd trading period (08-12)
Croatia	HR	4.3 Surrendered emission reduction units (ERUs)	20-99 All stationary installations	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Croatia	HR	4.2 Surrendered certified emission reductions (CERs)	27 Production of secondary aluminium	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Croatia	HR	4.3 Surrendered emission reduction units (ERUs)	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Croatia	HR	4.3 Surrendered emission reduction units (ERUs)	33 Manufacture of mineral wool	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Croatia	HR	4.2 Surrendered certified emission reductions (CERs)	41 Production of ammonia	tonne of CO2 equ.	0	Total 2nd trading period (08-12)
Hungary	HU	1.1.1 Free allocation to existing entities (Art. 10a(1))	10 Aviation	tonne of CO2 equ.	1097418	Total 2nd trading period (08-12)
Hungary	HU	4. Total surrendered units	20 Combustion of fuels	tonne of CO2 equ.	91062018	Total 2nd trading period (08-12)
Hungary	HU	4.3 Surrendered emission reduction units (ERUs)	20 Combustion of fuels	tonne of CO2 equ.	1509272	Total 2nd trading period (08-12)
Poland	PL	1.1.1 Free allocation to existing entities (Art. 10a(1))	30 Production of lime, or calcination of dolomite/magnesite	tonne of CO2 equ.	8180100	Total 1st trading period (05-07)
Germany	DE	1.1.3 Free allocation for modernisation of electricity generation (Art. 10c)	40 Production of glyoxal and glyoxylic acid	tonne of CO2 equ.	0	Total 3rd trading period (13-20)
Germany	DE	1.1 Freely allocated allowances	41 Production of ammonia	tonne of CO2 equ.	29488624	Total 3rd trading period (13-20)
Belgium	BE	2.1 EU-ETS Verified Emission	33 Manufacture of mineral wool	tonne of CO2 equ.	405139	Total 3rd trading period (13-20)
Belgium	BE	4. Total surrendered units	35 Production of pulp	tonne of CO2 equ.	951589	Total 3rd trading period (13-20)
Belgium	BE	4. Total surrendered units	38 Production of nitric acid	tonne of CO2 equ.	7995113	Total 3rd trading period (13-20)
